,Lips Color,Mouth,Earrings,Clothes,Hairstyle,Implants,Facial Features,Eyes,Skin Tone,Background,Necklace,Face Accessories,Champion,Guardian,Rarity score,Token Id
11877,Rust,Kiss,Double Gold Hoops,Blazer,Creative Freedom,Space Crystals,Racer Mark,Hypnotic Right,Burning Red,Purple Blue Spikes,Color Party,None,None,None,37.139798889965476,12532
11878,Passion,Huh But Gold,Recycled,Moon Robe,Royal Warrior,Alu Threads,Holographic Tattoo,Flame Eye Roll,Cyber Green,W For WoW,None,None,None,None,24.150250381126796,12533
11879,Passion,Surprised,None,Mind Healer,Shades Of Red,Gems,Fast Healing Stitches,Ice Left,Light Medium Warm Gold,Pink V,None,None,None,None,8.27161708499144,12534
11880,Blue,Surprised,Hexa,Neoprene Bodysuit,Street Updo,Emerald Printed Circuit,Triple Brow Scar,Hypnotic Eye Roll,Cool Blue,Green Blue Circles,Creators,None,None,None,31.703439981395988,12535
11881,Bicolor,Slightly Open,Bar Combo,Astrosuit,Happy Buns,Gold Plaques,None,Ice Straight,Deep Neutral,Interferences,None,Queen Of The Desert,None,None,37.680340877241456,12536
11882,Blue,Kiss,Geometric Neons,Rebel Harness,Rebel,Emerald Printed Circuit,Punktron,Laser Eye Roll,Medium Gold,Interferences,None,None,None,None,16.556517535973033,12537
11883,Rust,Surprised,Geometric Neons,Gold Spacesuit,Shades Of Red,Emerald Printed Circuit,Holographic Tattoo,Laser Straight,Deep Neutral,Yellow Green Stripes,Potion Seller,Truth Vision Monocle,None,None,56.30223123456241,12538
11884,Blue,Little Smile,Lunar Rings,Sand Queen,Scarlet Power,Space Crystals,Flowers Of Life Runes,Rainbow Glass Right,Light Medium Warm Gold,Purple Blue Spikes,Gem Keeper,None,None,None,31.671173894279985,12539
11885,Peachy,Surprised,None,Neoprene Bodysuit,Happy Buns,Space Crystals,Racer Mark,Binary Green Straight,Rainbow Bright,Wave,Synthetic Thorns,None,None,None,38.9930820558197,12540
11886,Universe,Sandstorm Mask,None,Fireproof Suit,Street Updo,Space Crystals,Cosmos Birthmark,Laser Left,Deep Neutral,Green Blue Circles,Gem Keeper,None,None,None,43.853678938586974,12541
11887,Unstoppable,Down To Business,Bar Combo,Bomber Jacket,Street Updo,Steel Force Bindings,None,Rainbow Glass Straight,Light Warm Yellow,Cross,None,None,None,None,11.787260721107774,12542
11888,Blue,Surprised,Ancient Knowledge,Rebel Harness,Iridium Medusa,Emerald Printed Circuit,Purple Beauty Piercing,Deep Sentient Straight,Burning Red,Yellow Green Stripes,None,Nomad,None,None,42.83409284134939,12543
11889,Universe,Little Smile,Lunar Rings,Neoprene Bodysuit,Sugar Rush,Space Crystals,Punktron,Laser Eye Roll,Night Goddess,Green Blue Circles,Creators,None,None,None,42.18596242843681,12544
11890,Rust,Surprised,Double Gold Hoops,Sand Queen,Fuchsia Spirit,Space Crystals,Smokey Purple,Golden Cyborg Eye Roll,Deep Bronze,Cross,Protection Pendant,None,None,None,29.00551378471286,12545
11891,Peachy,Down To Business,Signal Scrambler,Cryptography Tunic,Superior Ponytail,Copper Plating,None,Laser Eye Roll,Light Medium Warm Gold,Cross,Gem Keeper,None,None,None,30.83997993403808,12546
11892,Passion,Alien Gum,Bar Combo,Fireproof Suit,Shades Of Red,Copper Plating,Turquoise,Deep Sentient Straight,Burning Red,Yellow Green Stripes,Silver Moth,Ultraglasses,None,None,67.31980815127349,12547
11893,Passion,Down To Business,Hexa,Streestyle Body,Superior Ponytail,Gold Plaques,WoW Tattoo,Rainbow Glass Left,Deep Neutral,Yellow Green Stripes,Traveler,Ultraglasses,None,None,59.605340009369016,12548
11894,Peachy,Munching,Star Diamonds,Lyrium Dress,Enchanted Turban,Pink Network,Unseen Protector,Binary Green Left,Burning Red,Purple Blue Spikes,None,None,None,None,25.72116712654206,12549
11895,Rust,Slightly Open,Recycled,Cryptography Tunic,Cyber Mint,Emerald Printed Circuit,Eyebrow Stars,Hypnotic Left,Deep Bronze,Green Blue Circles,Creators,Eye Patch,None,None,50.09134161241542,12550
11896,Passion,Surprised,Wave Harnesser,Cairys Suit,Shiny Ice Queen,Alu Threads,Child Of Sun,Hypnotic Right,Deep Bronze,Orange Lava,None,None,None,None,12.416731667761669,12551
11897,Rust,Munching,Rainbow Steel,Cryptography Tunic,Scarlet Power,Gems,None,Binary Green Right,Cool Blue,Yellow Squares,Mars Metal,Nomad,None,None,55.14558088617167,12552
11898,Passion,Down To Business,Star Diamonds,Neon Party Pink,Superior Ponytail,Emerald Printed Circuit,Heating Power Tattoo,Binary Green Right,Golden,Yellow Squares,Yela,Queen Of The Desert,None,None,63.08869637808253,12553
11899,Rust,Down To Business,Recycled,Neon Party Pink,Disruptor,Emerald Printed Circuit,Fast Healing Stitches,Laser Right,Cyber Green,Pink V,None,Eye Patch,None,None,34.60314246052999,12554
11900,Blue,Little Smile,Geometric Neons,Fiery Corset,Might And Pride,Space Crystals,Moon Lava,Hypnotic Straight,Medium Olive,Yellow Green Stripes,Elixir,Ultraglasses,None,None,56.095059555672734,12555
11901,Bicolor,Little Smile,Hexa,Fireproof Suit,Enchanted Turban,Steel Force Bindings,Child Of Sun,Rainbow Glass Right,Medium Gold,Green Blue Circles,Color Party,None,None,None,39.10334342358384,12556
11902,Passion,Huh But Gold,Recycled,New Era Dress,Hypersonic,Gems,Blossoming Tears,Flame Right,Deep Warm Gold,Pink V,Elixir,Positive Vision,None,None,66.34068745841606,12557
11903,Bicolor,Down To Business,None,Cryptography Tunic,Asymetric Style,Steel Force Bindings,Smokey Purple,Laser Eye Roll,Cyber Green,Yellow Squares,Hexagon Field,None,None,None,36.292398061891156,12558
11904,Blue,Kiss,Bar Combo,Neoprene Bodysuit,Hypersonic,Pink Network,Child Of Sun,Ice Eye Roll,Light Warm Yellow,Yellow Green Stripes,None,The Groove,None,None,40.970095591111516,12559
11905,Peachy,Down To Business,Spiralhani,Cryptography Tunic,Scarlet Power,Pink Network,Neon Septum,Ice Left,Cool Blue,Yellow Green Stripes,Mars Metal,Isil,None,None,62.967611758038444,12560
11906,Passion,Munching,Wave Harnesser,Moon Robe,Disruptor,Space Crystals,Green Cleo,Laser Right,Golden,Yellow Green Stripes,None,Queen Of The Desert,None,None,46.761321536503935,12561
11907,Bicolor,Surprised,Hexa,Lyrium Dress,Creative Freedom,Gems,Purple Beauty Piercing,Ice Eye Roll,Burning Red,Orange Lava,None,None,None,None,19.849030801670438,12562
11908,Rust,Slightly Open,Lunar Rings,Neoprene Bodysuit,Asymetric Style,Gems,Green Cleo,Rainbow Glass Straight,Light Warm Yellow,Orange Lava,Mars Metal,Nomad,None,None,52.83770228449479,12563
11909,Celebration,Slightly Open,Spines,Holographic Hoodie,Creative Freedom,Steel Force Bindings,Turquoise,Binary Green Left,Light Medium Warm Gold,Cross,None,AR Glasses,None,None,51.05167499528381,12564
11910,Rust,Little Smile,None,Moon Robe,Shades Of Red,Alu Threads,Turquoise,Golden Cyborg Left,Cyber Green,Wave,None,Ultraglasses,None,None,32.607169777438955,12565
11911,Bicolor,Little Smile,Lunar Rings,Bomber Jacket,Superior Ponytail,Copper Plating,Unseen Protector,Laser Straight,Light Warm Yellow,W For WoW,None,None,None,None,12.354818792116777,12566
11912,Deep Green,Munching,Candy Gem Cuff,Gold Spacesuit,Disruptor,Space Crystals,Punktron,Rainbow Glass Straight,Burning Red,Purple Blue Spikes,Yela,Stats Tracker,None,None,78.16782962689364,12567
11913,Unstoppable,Little Smile,Wave Harnesser,Sea Urchin Coat,Scarlet Power,Steel Force Bindings,Fast Healing Stitches,Ice Left,Medium Olive,Cross,None,Nomad,None,None,43.32910730406083,12568
11914,Bicolor,Munching,Recycled,Mind Healer,Enchanted Turban,Space Crystals,Phynx,Deep Sentient Left,Medium Gold,Green Blue Circles,None,None,None,None,23.14697681189855,12569
11915,Peachy,Slightly Open,Balanced Planets,Fiery Corset,Cyber Mint,Steel Force Bindings,Heating Power Tattoo,Deep Sentient Eye Roll,Light Medium Warm Gold,Retro Blue,Seeker,None,None,None,39.56063398618783,12570
11916,Passion,Surprised,Lunar Rings,Streestyle Body,Talisman,Emerald Printed Circuit,Phynx,Ice Eye Roll,Burning Red,Wave,Hexagon Field,Queen Of The Desert,None,None,58.720371454613776,12571
11917,Rust,Slightly Open,Double Gold Hoops,Ambassador Attire,Cyber Mint,Emerald Printed Circuit,Heating Power Tattoo,Binary Green Left,Cool Blue,Yellow Squares,None,None,None,None,10.673680035763239,12572
11918,Peachy,Slightly Open,None,Ambassador Attire,Super Rainbow,Gold Plaques,Turquoise,Galaxy Eye Roll,Medium Olive,Purple Blue Spikes,None,None,None,None,17.4926532998609,12573
11919,Passion,Little Smile,Rainbow Steel,Neon Party Pink,Scarlet Power,Copper Plating,Triple Brow Scar,Deep Sentient Straight,Medium Gold,W For WoW,Power of Dhahab,None,None,None,33.41691513853208,12574
11920,Rust,Slightly Open,None,Neoprene Bodysuit,Rebel,Pink Network,Feathers Of Resilience,Galaxy Eye Roll,Light Medium Warm Gold,W For WoW,Color Party,Eye Patch,None,None,51.352890644069795,12575
11921,Bicolor,Down To Business,Lunar Rings,Moon Robe,Scarlet Power,Alu Threads,Turquoise,Deep Sentient Straight,Deep Neutral,W For WoW,None,Truth Vision Monocle,None,None,42.01099103453272,12576
11922,Blue,Surprised,Signal Scrambler,Neon Party Pink,Street Updo,Space Crystals,Purple Beauty Piercing,Deep Sentient Left,Deep Warm Gold,Orange Lava,Protection Pendant,None,None,None,32.87626197572621,12577
11923,Deep Green,Little Smile,Geometric Neons,Streestyle Body,Scarlet Power,Gems,Feathers Of Resilience,Flame Right,Medium Olive,Purple Blue Spikes,None,Isil,None,None,42.29891466370702,12578
11924,Peachy,Huh But Gold,Hexa,Blazer,Talisman,Alu Threads,Purple Beauty Piercing,Laser Right,Light Warm Olive,Wave,Mars Metal,Stats Tracker,None,None,72.9468934783034,12579
11925,Rust,Surprised,Spiralhani,Pilot,Shades Of Red,Gold Plaques,Eyebrow Stars,Galaxy Straight,Night Goddess,Yellow Green Stripes,Yela,None,None,None,32.08008275105559,12580
11926,Passion,Slightly Open,None,Neoprene Bodysuit,Superior Ponytail,Space Crystals,Eyebrow Stars,Binary Green Left,Deep Bronze,Interferences,None,Queen Of The Desert,None,None,31.20308025641625,12581
11927,Rust,Slightly Open,Hexa,Pilot,Yellow Curls,Gems,Phynx,Binary Green Straight,Medium Olive,Yellow Squares,Mars Metal,Nomad,None,None,52.43691290647361,12582
11928,Blue,Surprised,Bar Combo,Sand Queen,Asymetric Style,Pink Network,None,Laser Eye Roll,Medium Gold,Pink V,Seeker,Got Attitude,None,None,52.10601537380889,12583
11929,Passion,Surprised,Geometric Neons,Gold Spacesuit,Might And Pride,Alu Threads,Unseen Protector,Ice Left,Deep Bronze,Green Blue Circles,None,None,None,None,12.131667488445148,12584
11930,Bicolor,Down To Business,Bar Combo,Astrosuit,Big Burgundy,Gems,Green Cleo,Hypnotic Straight,Golden,Wave,Gem Keeper,None,None,None,41.35210831077051,12585
11931,Rust,Little Smile,Spiralhani,Astrosuit,Iridium Medusa,Steel Force Bindings,Blue Bridge,Laser Straight,Deep Bronze,W For WoW,Protection Pendant,Got Attitude,None,None,51.850479535115156,12586
11932,Passion,Surprised,Lunar Rings,Cryptography Tunic,Asymetric Style,Gold Plaques,Neon Septum,Rainbow Glass Straight,Light Warm Olive,W For WoW,Color Party,Ultraglasses,None,None,55.538275605764674,12587
11933,Passion,Little Smile,Recycled,Neon Party Pink,Synthetic Purple,Emerald Printed Circuit,Lightning Within,Laser Left,Golden,Purple Blue Spikes,Silver Moth,Ultraglasses,None,None,62.93537612901833,12588
11934,Unstoppable,Surprised,Hexa,Lyrium Dress,Sugar Rush,Space Crystals,Holographic Tattoo,Galaxy Left,Rainbow Bright,Orange Lava,None,None,None,None,24.335852133281083,12589
11935,Bicolor,Little Smile,Spiralhani,Fireproof Suit,Asymetric Style,Pink Network,Heating Power Tattoo,Hypnotic Left,Deep Bronze,Yellow Green Stripes,Protection Pendant,The Groove,None,None,61.784081571005665,12590
11936,Bicolor,Huh But Gold,Bar Combo,Moon Robe,Street Updo,Gems,Phynx,Golden Cyborg Right,Cyber Green,Yellow Green Stripes,None,None,None,None,25.17777471440627,12591
11937,Universe,Slightly Open,Spines,Mind Healer,Shiny Ice Queen,Emerald Printed Circuit,Phynx,Flame Right,Light Medium Warm Gold,Green Blue Circles,Mars Metal,None,None,None,41.80133015848001,12592
11938,Deep Green,Surprised,None,Bomber Jacket,Rebel,Pink Network,Phynx,Flame Eye Roll,Rainbow Bright,Wave,None,None,None,None,18.41798673646872,12593
11939,Passion,Little Smile,Recycled,Pilot,Creative Freedom,Emerald Printed Circuit,Unseen Protector,Hypnotic Eye Roll,Light Medium Warm Gold,Yellow Green Stripes,Protection Pendant,Ultraglasses,None,None,53.746833492724924,12594
11940,Passion,Down To Business,Bar Combo,Sea Urchin Coat,Talisman,Pink Network,Fast Healing Stitches,Laser Right,Light Warm Olive,Pink V,Hexagon Field,Nomad,None,None,58.05867841602409,12595
11941,Blue,Health Meter,Ancient Knowledge,Gold Spacesuit,Shiny Ice Queen,Alu Threads,Lightning Within,Ice Right,Deep Bronze,Purple Blue Spikes,Power of Dhahab,Ultraglasses,None,None,72.4035688759316,12596
11942,Rust,Little Smile,Bar Combo,Neoprene Bodysuit,Scarlet Power,Steel Force Bindings,Green Cleo,Ice Right,Medium Olive,Green Blue Circles,Rings Of Force,None,None,None,27.673992561919565,12597
11943,Blue,Kiss,Recycled,New Era Dress,Synthetic Purple,Gems,Punktron,Flame Eye Roll,Light Warm Yellow,Interferences,Rings Of Force,Isil,None,None,62.72822763859923,12598
11944,Passion,Munching,Spiralhani,Cairys Suit,Yellow Curls,Steel Force Bindings,Phynx,Hypnotic Right,Burning Red,Interferences,None,None,None,None,15.055573354448615,12599
11945,Unstoppable,Surprised,Wave Harnesser,Cairys Suit,Street Updo,Emerald Printed Circuit,Blossoming Tears,Binary Green Left,Medium Gold,Wave,None,Isil,None,None,43.09503021684771,12600
11946,Blue,Slightly Open,Geometric Neons,Streestyle Body,Superior Ponytail,Alu Threads,Turquoise,Deep Sentient Straight,Deep Neutral,Wave,Yela,None,None,None,30.051859647157887,12601
11947,Blue,Kiss,Bar Combo,Rebel Harness,Creative Freedom,Alu Threads,Child Of Sun,Laser Left,Burning Red,Green Blue Circles,None,The Groove,None,None,42.045958140386254,12602
11948,Universe,Down To Business,Rainbow Steel,Pilot,Happy Buns,Gems,Neon Septum,Laser Straight,Deep Bronze,Yellow Green Stripes,Gem Keeper,None,None,None,39.114106890307006,12603
11949,Blue,Kiss,Lunar Rings,Cryptography Tunic,Superior Ponytail,Gems,None,Laser Eye Roll,Light Warm Olive,Interferences,Elixir,Isil,None,None,54.104546566113456,12604
11950,Blue,Kiss,Signal Scrambler,Fireproof Suit,Shades Of Red,Emerald Printed Circuit,Green Cleo,Galaxy Right,Medium Gold,W For WoW,Mars Metal,Ultraglasses,None,None,65.59024544873385,12605
11951,Peachy,Kiss,Recycled,Streestyle Body,Sugar Rush,Gold Plaques,Healing Band,Hypnotic Right,Burning Red,Interferences,Silver Moth,Isil,None,None,66.40522088514953,12606
11952,Passion,Down To Business,None,Pilot,Rebel,Alu Threads,Heating Power Tattoo,Hypnotic Straight,Light Warm Olive,Orange Lava,Mars Metal,The Groove,None,None,54.658700564432095,12607
11953,Rust,Down To Business,Unlocking Wisdom,Neon Party Pink,Talisman,Pink Network,Eyebrow Stars,Hypnotic Left,Light Warm Yellow,Cross,None,Isil,None,None,35.162642470472086,12608
11954,Peachy,Down To Business,None,Streestyle Body,Cyber Mint,Alu Threads,Triple Brow Scar,Binary Green Eye Roll,Medium Olive,Cross,Silver Moth,Nomad,None,None,56.127330279492504,12609
11955,Passion,Slightly Open,Bar Combo,Lyrium Dress,Talisman,Emerald Printed Circuit,Feathers Of Resilience,Hypnotic Straight,Light Warm Yellow,Interferences,None,None,None,None,11.060995777607936,12610
11956,Rust,Munching,Wave Harnesser,Moon Robe,Sugar Rush,Space Crystals,Green Cleo,Binary Green Straight,Cool Blue,Yellow Squares,None,Got Attitude,None,None,41.45420445197826,12611
11957,Bicolor,Kiss,Geometric Neons,Pilot,Yellow Curls,Emerald Printed Circuit,Racer Mark,Laser Eye Roll,Burning Red,Pink V,Protection Pendant,None,None,None,42.63784380883299,12612
11958,Passion,Down To Business,Lunar Rings,Star Hunter,Superior Ponytail,Gems,Eyebrow Stars,Hypnotic Left,Light Warm Olive,Orange Lava,None,None,None,None,8.56482192610013,12613
11959,Rust,Alien Gum,Geometric Neons,Fireproof Suit,Fuchsia Spirit,Space Crystals,Purple Beauty Piercing,Ice Right,Deep Warm Gold,Green Blue Circles,None,None,None,None,13.909799159125344,12614
11960,Rust,Health Meter,Star Diamonds,Bomber Jacket,Rebel,Pink Network,Purple Beauty Piercing,Laser Left,Deep Warm Gold,Wave,None,None,None,None,13.594949811186988,12615
11961,Bicolor,Little Smile,Unlocking Wisdom,Cairys Suit,Cyber Mint,Copper Plating,Heating Power Tattoo,Hypnotic Straight,Medium Gold,Purple Blue Spikes,None,Isil,None,None,43.99613670426317,12616
11962,Passion,Surprised,Star Diamonds,Fireproof Suit,Sugar Rush,Emerald Printed Circuit,Unseen Protector,Golden Cyborg Eye Roll,Light Warm Olive,Green Blue Circles,Gem Keeper,Eye Patch,None,None,57.47498353996381,12617
11963,Blue,Huh But Gold,Rainbow Steel,Sand Queen,Fuchsia Spirit,Gold Plaques,Smokey Purple,Deep Sentient Right,Deep Bronze,Retro Blue,Color Party,None,None,None,40.81412583542448,12618
11964,Passion,Little Smile,Geometric Neons,Sea Urchin Coat,Cyber Mint,Steel Force Bindings,Purple Beauty Piercing,Hypnotic Right,Medium Olive,Green Blue Circles,Mars Metal,Ultraglasses,None,None,55.029893542281435,12619
11965,Celebration,Munching,Balanced Planets,Streestyle Body,Big Burgundy,Gold Plaques,Moon Lava,Rainbow Glass Eye Roll,Medium Gold,Yellow Green Stripes,Gem Keeper,None,None,None,50.484240505428765,12620
11966,Celebration,Down To Business,Wave Harnesser,Gold Spacesuit,Synthetic Purple,Space Crystals,Eyebrow Stars,Flame Right,Cyber Green,Yellow Green Stripes,Seeker,Pilot Goggles,None,None,72.08076951381594,12621
11967,Peachy,Slightly Open,Rainbow Steel,Pilot,Shades Of Red,Gold Plaques,None,Laser Left,Golden,Yellow Squares,Power of Dhahab,Queen Of The Desert,None,None,63.62126691450709,12622
11968,Rust,Kiss,Lunar Rings,Holographic Hoodie,Scarlet Power,Gems,None,Laser Straight,Cyber Green,Interferences,None,Truth Vision Monocle,None,None,33.77459361834162,12623
11969,Rust,Down To Business,Geometric Neons,Streestyle Body,Energy,Pink Network,Moon Lava,Laser Right,Light Medium Warm Gold,Orange Lava,Power of Dhahab,None,None,None,27.23284143508759,12624
11970,Rust,Slightly Open,Lunar Rings,Pilot,Superior Ponytail,Gold Plaques,Child Of Sun,Golden Cyborg Left,Deep Neutral,Orange Lava,Elixir,None,None,None,26.444708113169014,12625
11971,Blue,Kiss,Spiralhani,Blazer,Enchanted Turban,Pink Network,Child Of Sun,Hypnotic Eye Roll,Deep Warm Gold,Retro Blue,None,Ultraglasses,None,None,41.196039288633585,12626
11972,Rust,Munching,Ancient Knowledge,Astrosuit,Asymetric Style,Pink Network,Turquoise,Flame Eye Roll,Deep Neutral,W For WoW,Color Party,Nomad,None,None,60.36926242335723,12627
11973,Blue,Munching,Double Gold Hoops,Pilot,Yellow Curls,Gold Plaques,Eyebrow Stars,Ice Straight,Light Warm Yellow,Yellow Green Stripes,Mars Metal,None,None,None,37.341481294226156,12628
11974,Rust,Slightly Open,Geometric Neons,New Era Dress,Sugar Rush,Gold Plaques,Green Cleo,Rainbow Glass Straight,Deep Bronze,Retro Blue,None,Isil,None,None,30.76466536856418,12629
11975,Bicolor,Health Meter,None,Fireproof Suit,Street Updo,Alu Threads,Unseen Protector,Laser Right,Light Warm Yellow,Interferences,Rings Of Force,Ultraglasses,None,None,64.99845854551634,12630
11976,Passion,Surprised,Recycled,Fiery Corset,Might And Pride,Emerald Printed Circuit,Purple Beauty Piercing,Hypnotic Left,Burning Red,Retro Blue,Protection Pendant,None,None,None,30.08141995091401,12631
11977,Rust,Slightly Open,Double Gold Hoops,Neoprene Bodysuit,Might And Pride,Pink Network,None,Deep Sentient Right,Deep Bronze,Cross,None,None,None,None,4.8419822944643744,12632
11978,Passion,Kiss,None,Gold Spacesuit,Iridium Medusa,Emerald Printed Circuit,Triple Brow Scar,Hypnotic Left,Deep Bronze,Green Blue Circles,Color Party,None,None,None,34.48482817182414,12633
